Contest	Ship	6	170	43
Copia	Ship	4	3	133
Cora	Bark	1	26	75
Coral	Bark	4	126	3
Coral	Ship	4	8	134
Corea	Ship	1	33	0
Corinthian or 1848	Ship	1	29	1
Corinthian	Ship	12	230	206
Cornelia	Bark	13	181	155
Cornelia	Schooner	6	120	6
Cornelius Howland	Ship	7	149	74
Cortes	Ship	8	84	161
Corvo	Ship	3	74	3
Cossack	Bark	6	65	135
Courier	Schooner	1	11	1
Courier	Ship	4	29	145
Courser	Bark	4	112	40
Cowper	Ship	4	30	154
Crowninshield	Bark	1	26	1
Curtis	Bark	3	49	3
D(r). Franklin	Bark	13	83	254
D. M. Hall	bark	3	54	45
D. N. Richards	Schr	2	35	2
Daisy	Brig	4	75	4
Daniel Webster	Bark 	1	31	1
Daniel Webster	Bark	1	28	1
Daniel Webster	Ship	5	143	50
Daniel Wood	Bark 	1	25	1
Daniel Wood	Ship	3	57	65
Danube	Bark 	1	16	0
Dartmouth	Bark 	1	23	0
Dartmouth	Bark	2	30	65
Dartmouth	Ship	6	91	179
Delaware	Bark	2	52	2
Delight	Brig	1	16	1
Delight	Schooner	1	34	2
Derby	Bark	1	24	2
Desdemona	Bark	7	173	34
Desdemona	Ship	6	55	148
Diana	Bark	3	46	0
Dimon	Bark	1	2	23
Dolphin	Schr	1	13	1
Dominga	Bark	3	23	75
Dove	Bark	8	198	6
Dover	Bark	1	20	1
Dover	Ship	3	101	3
Draco	Bark	11	194	146
Dragon	Bark	10	96	107
Draper	Ship	7	111	229
Dromo	Ship	5	141	4
Dryade	Bark	6	66	108
Dryade	Brig	1	22	1
Drymo	Bark	2	24	66
Dunbarton	Bark	6	48	144
Dwight	Bark	1	14	1
E. B. Phillips	Bark	5	116	5
E. Corning	Bark	4	106	5
E. R. Sawyer	Schooner	5	59	5
Eagle	Bark	3	85	34
Eagle	Brig	1	33	1
Eagle	Ship	8	136	162
Eben Dodge	Bark	3	65	47
Edward Everett	Bark	4	91	5
Edward Quesnel	ship	2	53	3
Edward	Bark	6	90	107
Edward	Brig	4	3	86
Edward	Ship	1	29	1
Eleanor B. Conwell	Schr	20	283	47
Electra	Ship	17	456	17
Elisha Dunbar	Bark	5	57	104
Eliza Adams 	Ship	1	28	71
Eliza Adams	Ship	10	246	162
Eliza Barker	Schr	1	13	1
Eliza Barker	Ship	1	13	1
Eliza F. Mason	Ship	2	31	68
Eliza L. B. Jenney	Bark	1	26	28
Eliza L. B. Jenney	Ship	3	31	121
Eliza	Bark	7	192	48
Eliza	Ship	1	16	1
Elizabeth Swift	Bark	4	104	59
Elizabeth	Bark	1	23	1
Elizabeth	bark	1	7	3
Elizabeth	Bark	11	160	123
Elizabeth	bark	1	27	0
Elizabeth	Bark	5	78	106
Elizabeth	Brig	2	13	16
Elizabeth	Ship	9	237	197
Elizabeth	Sloop	7	73	1
Ellen A. Swift	Schr	18	204	168
Ellen Morrison	Bark	1	22	1
Ellen Rodman	Schr	11	173	11
Elliot C. Cowdin	Bark	1	24	3
Elliot C. Cowdin	Ship	1	27	29
Elvira	Brig	2	37	44
Emeline	Brig	3	27	26
Emerald ?	Ship	1	0	25
Emerald	Bark	5	113	38
Emerald	Schr	10	239	12
Emerald	Ship	3	0	98
Emigrant	Bark	1	19	23
Emily Morgan	Bark	2	57	2
Emily Morgan	Ship	6	96	110
Emily	Bark	2	39	80
Emma C. Jones	Ship	8	151	163
Emma Jane	Schooner	2	22	2
Emma Jane	Schr	2	35	2
Emma	Bark	5	1	117
Emma	Schooner	1	13	1
Empire	Ship	3	56	69
Endeavor	Bark	10	152	321
Endeavor	Ship	4	89	4
Enterprise	Bark	5	114	0
Enterprise	Brig	2	32	2
Enterprise	Ship	6	0	158
Envoy or 1851	Bark	1	0	36
Equator	Bark	4	64	56
Era	Schooner	6	106	15
Era	Schr	4	80	4
Erie	Ship	7	105	245
Eschol	Brig	6	14	143
Eugene	Bark	1	22	1
Eugenia	Bark	5	120	69
Eunice H. Adams	Brig	9	192	10
Euphrates	Brig	3	77	0
Euphrates	Ship	7	80	281
Europa	Bark	3	77	24
Europa	Ship	6	97	122
Excellent	Brig	3	24	42
Exchange	Bark	3	0	66
Exile	Schooner	5	52	6
Experiment	Schr	1	0	5
Express	Schr	2	30	2
F. H. Moore	Brig	2	42	2
Fabius	Ship	8	77	243
Factor	Ship	1	37	49
Fair America	Sloop	1	2	1
Falcon	Bark 	1	27	1
Falcon	Bark	8	176	39
Falcon	Brig	5	47	111
Falcon	Ship	10	178	128
Fame	Bark	1	18	1
Fannie Byrnes	Schr	3	34	6
Fanny	Bark	5	123	66
Favorite	Bark	11	216	168
Fellowes	Bark	1	24	1
Fenelon	Bark	1	26	0
Fenelon	Ship	4	58	97
Fleetwing	Bark	1	32	1
Flora	Bark Ship	1	28	1
Flora	Ship	13	392	13
Florence	Schooner	2	24	2
Florida II	Ship	4	129	111
Florida	Bark	1	29	1
Florida	Ship	11	141	259
Flying Fish	Schooner	7	110	6
Formosa	Ship	2	24	68
Forrester	Ship	1	22	0
